Country,Amount spent,Impressions,Visits,Emails,Paywalls,CPM,CTR,CPC,CR into email enter,CR into paywall view,CR into purchase,CPA,LTV,ROMI
Thailand,0.0,18,242,63,39,0.0,13.444444444444445,0.0,0.2603305785123967,0.16115702479338842,0.01652892561983471,0.0,8.261333333333333,0.0
Tunisia,74.8,87210,966,303,199,0.8576998050682262,0.01107671138630891,0.0,0.3136645962732919,0.20600414078674947,0.005175983436853002,37.4,21.455,0.22927807486631005
Türkiye,0.1,28,550,103,44,3.5714285714285716,19.642857142857142,0.1,0.18727272727272729,0.08,0.03090909090909091,0.02,31.162444444444446,3647.2999999999993
Taiwan,348.1,42354,1524,349,236,8.218822307220098,0.03598243377248902,0.2,0.229002624671916,0.15485564304461943,0.017716535433070866,34.81,19.76716129032258,0.2919563343866703
Tanzania,210.7,115874,1365,363,227,1.8183544194556156,0.011780036936672593,0.1,0.26593406593406593,0.1663003663003663,0.006593406593406593,26.3375,4.212222222222222,-0.8200759373516848
Ukraine,0.0,2,369,102,90,0.0,184.5,0.0,0.2764227642276423,0.24390243902439024,0.04607046070460705,0.0,2.9553333333333334,0.0
Uruguay,171.7,49346,799,166,72,3.479512017184777,0.016191788594820247,0.2,0.20775969962453067,0.09011264080100125,0.02127659574468085,28.616666666666664,30.290549019607838,0.9559114735002913
United States,63060.8,2852361,185478,46841,21807,22.108281525374945,0.06502613098412158,0.3,0.2525420804623729,0.1175718953191214,0.05035637649748218,19.523467492260064,82.96821527572988,1.937111486057899
British Virgin Islands,58.4,26593,224,50,27,2.1960666340766366,0.008423269281389839,0.1,0.22321428571428573,0.12053571428571429,0.026785714285714284,58.4,130.81466666666668,1.5845890410958903
United States Virgin Islands,61.6,17519,327,88,41,3.5161824305040246,0.018665448941149607,0.1,0.2691131498470948,0.12538226299694188,0.009174311926605505,61.6,22.355666666666668,-0.010227272727272769
Vietnam,382.7,299129,2692,800,532,1.2793811365664982,0.008999461770674191,0.1,0.2971768202080238,0.1976225854383358,0.009658246656760773,22.511764705882353,1.173074074074074,-0.25074470864907233
Vanuatu,14.6,15174,86,26,16,0.9621721365493607,0.005667589297482536,0.1,0.3023255813953488,0.18604651162790697,0.08139534883720931,14.6,174.03742857142853,11.392465753424657
Samoa,21.8,24947,205,49,30,0.8738525674429791,0.008217420932376639,0.1,0.23902439024390243,0.14634146341463414,0.014634146341463415,21.8,31.83988888888889,1.796788990825688
South Africa,5341.9,1424761,31354,7713,3363,3.749330589481323,0.022006497931933846,0.1,0.24599732091599158,0.10725904190852842,0.00838808445493398,46.050862068965515,39.093090909090904,-0.15322825212003216
Zambia,242.8,190466,2424,621,327,1.2747682000987053,0.012726680877426942,0.0,0.2561881188118812,0.1349009900990099,0.0033003300330033004,30.35,4.212222222222222,-0.9673805601317957
Zimbabwe,251.5,188314,2329,659,355,1.3355353292904406,0.012367641279989804,0.1,0.2829540575354229,0.15242593387720052,0.004293688278231,50.3,7.744999999999999,-0.38409542743538777
